date,revenue_daily_$
2024-08-18,167969877.26888126
2024-08-19,238220415.0383906
2024-08-20,237730362.91303807
2024-08-21,236734945.36253858
2024-08-22,237785813.8532993
2024-08-23,238003967.3494842
2024-08-24,167327208.82309824
2024-08-25,167169117.13474897
2024-08-26,236934406.88900068
2024-08-27,237300490.7751982
2024-08-28,237098000.1443256
2024-08-29,235223568.17753258
2024-08-30,235473805.70843473
2024-08-31,166893714.52857938
2024-09-01,167353160.22252578
2024-09-02,236625562.5377962
2024-09-03,236394099.50952026
2024-09-04,221522803.45542148
2024-09-05,237766531.9936007
2024-09-06,235355073.66800553
2024-09-07,162459659.65049857
2024-09-08,163479969.50648832
2024-09-09,231235201.62974522
2024-09-10,230761174.1046653
2024-09-11,230789986.29229033
2024-09-12,230376306.66953042
2024-09-13,230024496.7657577
2024-09-14,161936647.9954877
2024-09-15,162351190.13114485
2024-09-16,229370254.6614192
2024-09-17,229139712.5554476
2024-09-18,229057760.10409707
2024-09-19,229129915.20469704
2024-09-20,228145837.70449588
2024-09-21,159227671.3295814
2024-09-22,159796628.5134442
2024-09-23,227088900.27465773
2024-09-24,220127746.0101646
2024-09-25,226786921.08476493
2024-09-26,227669088.80622965
2024-09-27,226973700.7795593
2024-09-28,157552793.83911818
2024-09-29,157634994.37869793
2024-09-30,223469551.71163082
2024-10-01,223278083.91295418
2024-10-02,224103852.2804663
2024-10-03,224439451.89961934
2024-10-04,224534493.22747648
2024-10-05,157028878.37538722
2024-10-06,156600806.93318883
2024-10-07,222834678.07269242
2024-10-08,222978081.2930892
2024-10-09,223067247.5705544
2024-10-10,222793980.63787803
2024-10-11,223209385.67804763
2024-10-12,155320967.731608
2024-10-13,153825351.39403743
2024-10-14,216252168.2134659
2024-10-15,218031619.46464443
2024-10-16,218398274.8251129
2024-10-17,217982916.82771924
2024-10-18,217168469.27240872
2024-10-19,151018569.57600003
2024-10-20,151597602.02034003
2024-10-21,215013410.474355
2024-10-22,214954247.1688535
2024-10-23,215641499.22330734
2024-10-24,214493810.53180504
2024-10-25,213923028.93021002
2024-10-26,151434494.28954002
2024-10-27,150837117.98222846
2024-10-28,212072298.10274377
2024-10-29,211524057.78394735
2024-10-30,37571849.479006924
2024-10-31,207830644.829784
2024-11-01,167082023.89192572
2024-11-02,114866537.3936892
2024-11-03,114357929.1107652
2024-11-04,161866625.00468257
2024-11-05,162736888.82828403
2024-11-06,163672016.38656121
2024-11-07,162854931.59659007
2024-11-08,163542443.40940607
2024-11-09,113820366.13144489
2024-11-10,113649682.68292393
2024-11-11,162901749.72243062
2024-11-12,161485236.9726959
2024-11-13,160392267.1849518
2024-11-14,159776884.64571336
2024-11-15,160550722.25304517
2024-11-16,112781001.61131482
2024-11-17,112249278.8286336
2024-11-18,160538499.08109972
2024-11-19,159169736.0706048
2024-11-20,158999116.572846
2024-11-21,158231711.1472704
2024-11-22,157621396.5003352
2024-11-23,106723504.86427297
2024-11-24,107784311.96138689
2024-11-25,152657013.79249632
2024-11-26,152776624.3530941
2024-11-27,154108809.74025935
2024-11-28,153249199.74943164
2024-11-29,153038288.07984817
2024-11-30,108538565.65621632
2024-12-01,108141590.02735873
2024-12-02,152801258.9855731
2024-12-03,152545166.8465925
2024-12-04,152987282.15812418
2024-12-05,153547507.98739153
2024-12-06,153761675.42826325
2024-12-07,109137368.48063615
2024-12-08,109081007.4951828
2024-12-09,152821438.4468909
2024-12-10,154090865.226888
2024-12-11,155189698.62986016
2024-12-12,157690956.50407007
2024-12-13,156244004.13142368
2024-12-14,111565156.60201968
2024-12-15,111089674.26563329
2024-12-16,158255066.0987604
2024-12-17,159915432.89499122
2024-12-18,159319921.90961954
2024-12-19,158701547.88061056
2024-12-20,157892603.43915576
2024-12-21,112187312.7723072
2024-12-22,112509107.68152961
2024-12-23,159783935.95152
2024-12-24,159713280.737136
2024-12-25,159554300.630544
2024-12-26,159645957.3848736
2024-12-27,159285956.4967392
2024-12-28,111276707.13965449
2024-12-29,111516958.79624881
2024-12-30,160201276.88268855
2024-12-31,159935150.60282665
