Station Name,Station Code,Date,Time,DateTime,Water Level (meters) - Niveau d'eau (mètres),Discharge (cubic meters per second) - Débit (mètres cubes par seconde)
Cornwall,14870,2024-01-06,00:00,2024-01-06 00:00:00,0.347,262000.0
Cornwall,14870,2024-01-06,01:00,2024-01-06 01:00:00,0.355,262000.0
Cornwall,14870,2024-01-06,02:00,2024-01-06 02:00:00,0.368,262000.0
Cornwall,14870,2024-01-06,03:00,2024-01-06 03:00:00,0.38,262000.0
Cornwall,14870,2024-01-06,04:00,2024-01-06 04:00:00,0.395,262000.0
Cornwall,14870,2024-01-06,05:00,2024-01-06 05:00:00,0.411,262000.0
Cornwall,14870,2024-01-06,06:00,2024-01-06 06:00:00,0.444,262000.0
Cornwall,14870,2024-01-06,07:00,2024-01-06 07:00:00,0.48,262000.0
Cornwall,14870,2024-01-06,08:00,2024-01-06 08:00:00,0.501,262000.0
Cornwall,14870,2024-01-06,09:00,2024-01-06 09:00:00,0.513,262000.0
Cornwall,14870,2024-01-06,10:00,2024-01-06 10:00:00,0.527,262000.0
Cornwall,14870,2024-01-06,11:00,2024-01-06 11:00:00,0.536,262000.0
Cornwall,14870,2024-01-06,12:00,2024-01-06 12:00:00,0.536,262000.0
Cornwall,14870,2024-01-06,13:00,2024-01-06 13:00:00,0.539,262000.0
Cornwall,14870,2024-01-06,14:00,2024-01-06 14:00:00,0.551,262000.0
Cornwall,14870,2024-01-06,15:00,2024-01-06 15:00:00,0.57,262000.0
Cornwall,14870,2024-01-06,16:00,2024-01-06 16:00:00,0.587,262000.0
Cornwall,14870,2024-01-06,17:00,2024-01-06 17:00:00,0.593,262000.0
Cornwall,14870,2024-01-06,18:00,2024-01-06 18:00:00,0.592,262000.0
Cornwall,14870,2024-01-06,19:00,2024-01-06 19:00:00,0.574,262000.0
Cornwall,14870,2024-01-06,20:00,2024-01-06 20:00:00,0.566,262000.0
Cornwall,14870,2024-01-06,21:00,2024-01-06 21:00:00,0.579,262000.0
Cornwall,14870,2024-01-06,22:00,2024-01-06 22:00:00,0.58,262000.0
Cornwall,14870,2024-01-06,23:00,2024-01-06 23:00:00,0.582,262000.0
Cornwall,14870,2024-01-07,00:00,2024-01-07 00:00:00,0.57,262000.0
Cornwall,14870,2024-01-07,01:00,2024-01-07 01:00:00,0.559,262000.0
Cornwall,14870,2024-01-07,02:00,2024-01-07 02:00:00,0.541,262000.0
Cornwall,14870,2024-01-07,03:00,2024-01-07 03:00:00,0.536,262000.0
Cornwall,14870,2024-01-07,04:00,2024-01-07 04:00:00,0.542,262000.0
Cornwall,14870,2024-01-07,05:00,2024-01-07 05:00:00,0.541,262000.0
Cornwall,14870,2024-01-07,06:00,2024-01-07 06:00:00,0.546,262000.0
Cornwall,14870,2024-01-07,07:00,2024-01-07 07:00:00,0.563,262000.0
Cornwall,14870,2024-01-07,08:00,2024-01-07 08:00:00,0.577,262000.0
Cornwall,14870,2024-01-07,09:00,2024-01-07 09:00:00,0.575,262000.0
Cornwall,14870,2024-01-07,10:00,2024-01-07 10:00:00,0.567,262000.0
Cornwall,14870,2024-01-07,11:00,2024-01-07 11:00:00,0.562,262000.0
Cornwall,14870,2024-01-07,12:00,2024-01-07 12:00:00,0.567,262000.0
Cornwall,14870,2024-01-07,13:00,2024-01-07 13:00:00,0.556,262000.0
Cornwall,14870,2024-01-07,14:00,2024-01-07 14:00:00,0.546,262000.0
Cornwall,14870,2024-01-07,15:00,2024-01-07 15:00:00,0.536,262000.0
Cornwall,14870,2024-01-07,16:00,2024-01-07 16:00:00,0.527,262000.0
Cornwall,14870,2024-01-07,17:00,2024-01-07 17:00:00,0.527,262000.0
Cornwall,14870,2024-01-07,18:00,2024-01-07 18:00:00,0.514,262000.0
Cornwall,14870,2024-01-07,19:00,2024-01-07 19:00:00,0.489,262000.0
Cornwall,14870,2024-01-07,20:00,2024-01-07 20:00:00,0.467,262000.0
Cornwall,14870,2024-01-07,21:00,2024-01-07 21:00:00,0.456,262000.0
Cornwall,14870,2024-01-07,22:00,2024-01-07 22:00:00,0.446,262000.0
Cornwall,14870,2024-01-07,23:00,2024-01-07 23:00:00,0.433,262000.0
Cornwall,14870,2024-01-08,00:00,2024-01-08 00:00:00,0.423,262000.0
Cornwall,14870,2024-01-08,01:00,2024-01-08 01:00:00,0.418,262000.0
Cornwall,14870,2024-01-08,02:00,2024-01-08 02:00:00,0.418,262000.0
Cornwall,14870,2024-01-08,03:00,2024-01-08 03:00:00,0.413,262000.0
Cornwall,14870,2024-01-08,04:00,2024-01-08 04:00:00,0.41,262000.0
Cornwall,14870,2024-01-08,05:00,2024-01-08 05:00:00,0.408,262000.0
Cornwall,14870,2024-01-08,06:00,2024-01-08 06:00:00,0.394,262000.0
Cornwall,14870,2024-01-08,07:00,2024-01-08 07:00:00,0.404,262000.0
Cornwall,14870,2024-01-08,08:00,2024-01-08 08:00:00,0.417,262000.0
Cornwall,14870,2024-01-08,09:00,2024-01-08 09:00:00,0.427,262000.0
Cornwall,14870,2024-01-08,10:00,2024-01-08 10:00:00,0.432,262000.0
Cornwall,14870,2024-01-08,11:00,2024-01-08 11:00:00,0.426,262000.0
Cornwall,14870,2024-01-08,12:00,2024-01-08 12:00:00,0.431,262000.0
Cornwall,14870,2024-01-08,13:00,2024-01-08 13:00:00,0.428,262000.0
Cornwall,14870,2024-01-08,14:00,2024-01-08 14:00:00,0.434,262000.0
Cornwall,14870,2024-01-08,15:00,2024-01-08 15:00:00,0.441,262000.0
Cornwall,14870,2024-01-08,16:00,2024-01-08 16:00:00,0.459,262000.0
Cornwall,14870,2024-01-08,17:00,2024-01-08 17:00:00,0.471,262000.0
